Town,Avon,Bloomfield,Hartford,West Hartford,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1302,1513,79850,3186,,,,,,,,,,,,,,,,,,,,,,,,,
1910,1337,1821,98915,4808,,,,,,,,,,,,,,,,,,,,,,,,,
1920,1534,2394,138036,8854,,,,,,,,,,,,,,,,,,,,,,,,,
1930,1738,3247,164072,24941,,,,,,,,,,,,,,,,,,,,,,,,,
1940,2258,4309,166267,33776,,,,,,,,,,,,,,,,,,,,,,,,,
1950,3171,5746,177397,44402,,,,,,,,,,,,,,,,,,,,,,,,,
1960,5273,13613,162178,62382,,,,,,,,,,,,,,,,,,,,,,,,,
1970,8352,18301,158017,68031,,,,,,,,,,,,,,,,,,,,,,,,,
1980,11201,18608,136392,61301,,,,,,,,,,,,,,,,,,,,,,,,,
1990,13937,19483,139739,60110,,,,,,,,,,,,,,,,,,,,,,,,,
2000,15832,19587,121578,63589,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,Avon,Bloomfield,Hartford,West Hartford,,,,,,,,,,,,,,,,,,,,,,,,,
1900-10,3%,20%,24%,51%,,,,,,,,,,,,,,,,,,,,,,,,,
1910-20,15%,31%,40%,84%,,,,,,,,,,,,,,,,,,,,,,,,,
1920-30,13%,36%,19%,182%,,,,,,,,,,,,,,,,,,,,,,,,,
1930-40,30%,33%,1%,35%,,,,,,,,,,,,,,,,,,,,,,,,,
1940-50,40%,33%,7%,31%,,,,,,,,,,,,,,,,,,,,,,,,,
1950-60,66%,137%,-9%,40%,,,,,,,,,,,,,,,,,,,,,,,,,
1960-70,58%,34%,-3%,9%,,,,,,,,,,,,,,,,,,,,,,,,,
1970-80,34%,2%,-14%,-10%,,,,,,,,,,,,,,,,,,,,,,,,,
1980-90,24%,5%,2%,-2%,,,,,,,,,,,,,,,,,,,,,,,,,
1990-2000,14%,1%,-13%,6%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,Avon,Berlin,Bloomfield,Bristol,Burlington,Canton,East Granby,East Hartford,East Windsor,Enfield,Farmington,Glastonbury,Granby,Hartford,Hartland,Manchester,Marlborough,New Britain,Newington,Plainville,Rocky Hill,Simsbury,Southington,South Windsor,Suffield,West Hartford,Wethersfield,Windsor,Windsor Locks
1900,1302,3448,1513,9643,1218,2678,684,6406,3158,6699,3331,4260,1299,79850,592,10601,322,28202,1041,2189,1026,2094,5890,2014,3521,3186,2637,3614,3062
1910,1337,3728,1821,13502,1319,2732,797,8138,3362,9719,3478,4796,1383,98915,544,13641,302,43916,1689,2882,1187,2537,6516,2251,3841,4808,3148,4178,3715
1920,1534,4298,2394,20620,1109,2549,1056,11648,3741,11719,3844,5952,1342,138036,448,18370,303,59316,2381,4114,1633,2958,8440,2142,4070,8854,4342,5620,3554
1930,1738,4875,3247,28451,1082,2397,1003,17125,3815,13404,4548,5783,1388,164072,296,21973,319,68128,4572,6301,2021,3625,9237,2535,4346,24941,7512,8290,4073
1940,2258,5230,4309,30167,1246,2769,1225,18615,3967,13561,5313,6632,1544,166267,300,23799,476,68685,5449,6935,2679,3941,9646,2863,4475,33776,9644,10068,4347
1950,3171,7470,5746,35961,1846,3613,1327,29933,4859,15464,7026,8818,2693,177397,549,34116,901,73726,9110,9994,5108,4822,13061,4066,4895,44402,12533,11833,5221
1960,5273,11250,13613,45499,2790,4783,2434,43977,7500,31464,10813,14497,4968,162178,1416,42102,1961,82201,17664,13149,7404,10138,22797,9460,6779,62382,20561,19467,11411
1970,8352,14149,18301,55487,4070,6868,3532,57583,8513,46189,14390,20651,6150,158017,1303,47994,2991,83441,26037,16733,11103,17475,30946,15553,8634,68031,26662,22502,15080
1980,11201,15121,18608,57370,5660,7635,4102,52563,8925,42695,16407,24327,7956,136392,1416,49761,4746,73840,28841,16401,14559,21161,36879,17198,9294,61301,26013,25204,12190
1990,13937,16787,19483,60640,7026,8268,4302,50452,10081,45532,20608,27901,9369,139739,1866,51618,5513,75491,29208,17392,16554,22023,38518,22090,11427,60110,25651,27817,12358
2000,15832,18215,19587,60062,8190,8840,4745,49575,9818,45212,23641,31876,10347,121578,2012,57740,5709,71538,29306,17328,17966,23234,39728,24412,13552,63589,26271,28237,12043
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Town,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,,,,,,,,,,,,,,,,,,
Avon,1302,1337,1534,1738,2258,3171,5273,8352,11201,13937,15832,,,,,,,,,,,,,,,,,,
Berlin,3448,3728,4298,4875,5230,7470,11250,14149,15121,16787,18215,,,,,,,,,,,,,,,,,,
Bloomfield,1513,1821,2394,3247,4309,5746,13613,18301,18608,19483,19587,,,,,,,,,,,,,,,,,,
Bristol,9643,13502,20620,28451,30167,35961,45499,55487,57370,60640,60062,,,,,,,,,,,,,,,,,,
Burlington,1218,1319,1109,1082,1246,1846,2790,4070,5660,7026,8190,,,,,,,,,,,,,,,,,,
Canton,2678,2732,2549,2397,2769,3613,4783,6868,7635,8268,8840,,,,,,,,,,,,,,,,,,
East Granby,684,797,1056,1003,1225,1327,2434,3532,4102,4302,4745,,,,,,,,,,,,,,,,,,
East Hartford,6406,8138,11648,17125,18615,29933,43977,57583,52563,50452,49575,,,,,,,,,,,,,,,,,,
East Windsor,3158,3362,3741,3815,3967,4859,7500,8513,8925,10081,9818,,,,,,,,,,,,,,,,,,
Enfield,6699,9719,11719,13404,13561,15464,31464,46189,42695,45532,45212,,,,,,,,,,,,,,,,,,
Farmington,3331,3478,3844,4548,5313,7026,10813,14390,16407,20608,23641,,,,,,,,,,,,,,,,,,
Glastonbury,4260,4796,5952,5783,6632,8818,14497,20651,24327,27901,31876,,,,,,,,,,,,,,,,,,
Granby,1299,1383,1342,1388,1544,2693,4968,6150,7956,9369,10347,,,,,,,,,,,,,,,,,,
Hartford,79850,98915,138036,164072,166267,177397,162178,158017,136392,139739,121578,,,,,,,,,,,,,,,,,,
Hartland,592,544,448,296,300,549,1416,1303,1416,1866,2012,,,,,,,,,,,,,,,,,,
Manchester,10601,13641,18370,21973,23799,34116,42102,47994,49761,51618,57740,,,,,,,,,,,,,,,,,,
Marlborough,322,302,303,319,476,901,1961,2991,4746,5513,5709,,,,,,,,,,,,,,,,,,
New Britain,28202,43916,59316,68128,68685,73726,82201,83441,73840,75491,71538,,,,,,,,,,,,,,,,,,
Newington,1041,1689,2381,4572,5449,9110,17664,26037,28841,29208,29306,,,,,,,,,,,,,,,,,,
Plainville,2189,2882,4114,6301,6935,9994,13149,16733,16401,17392,17328,,,,,,,,,,,,,,,,,,
Rocky Hill,1026,1187,1633,2021,2679,5108,7404,11103,14559,16554,17966,,,,,,,,,,,,,,,,,,
Simsbury,2094,2537,2958,3625,3941,4822,10138,17475,21161,22023,23234,,,,,,,,,,,,,,,,,,
Southington,5890,6516,8440,9237,9646,13061,22797,30946,36879,38518,39728,,,,,,,,,,,,,,,,,,
South Windsor,2014,2251,2142,2535,2863,4066,9460,15553,17198,22090,24412,,,,,,,,,,,,,,,,,,
Suffield,3521,3841,4070,4346,4475,4895,6779,8634,9294,11427,13552,,,,,,,,,,,,,,,,,,
West Hartford,3186,4808,8854,24941,33776,44402,62382,68031,61301,60110,63589,,,,,,,,,,,,,,,,,,
Wethersfield,2637,3148,4342,7512,9644,12533,20561,26662,26013,25651,26271,,,,,,,,,,,,,,,,,,
Windsor,3614,4178,5620,8290,10068,11833,19467,22502,25204,27817,28237,,,,,,,,,,,,,,,,,,
Windsor Locks,3062,3715,3554,4073,4347,5221,11411,15080,12190,12358,12043,,,,,,,,,,,,,,,,,,