name,plan-zone-1957,agency
Andover,3,planning and zoning
Ansonia,3,planning and zoning
Ashford,0,none
Avon,3,planning and zoning
Barkhamsted,0,none
Beacon Falls,1,planning
Berlin,3,planning and zoning
Bethany,3,planning and zoning
Bethel,3,planning and zoning
Bethlehem,1,planning
Bloomfield,3,planning and zoning
Bolton,3,planning and zoning
Bozrah,3,planning and zoning
Branford,3,planning and zoning
Bridgeport,3,planning and zoning
Bridgewater,0,none
Bristol,3,planning and zoning
Brookfield,0,none
Brooklyn,0,none
Burlington,3,planning and zoning
Canaan,0,none
Canterbury,0,none
Canton,1,planning
Chaplin,0,none
Cheshire,3,planning and zoning
Chester,0,none
Clinton,0,none
Colchester,3,planning and zoning
Colebrook,2,zoning
Columbia,3,planning and zoning
Cornwall,3,planning and zoning
Coventry,3,planning and zoning
Cromwell,3,planning and zoning
Danbury,3,planning and zoning
Darien,3,planning and zoning
Deep River,0,none
Derby,3,planning and zoning
Durham,3,planning and zoning
East Granby,3,planning and zoning
East Haddam,0,none
East Hampton,3,planning and zoning
East Hartford,3,planning and zoning
East Haven,3,planning and zoning
East Lyme,3,planning and zoning
East Windsor,3,planning and zoning
Eastford,0,none
Easton,3,planning and zoning
Ellington,3,planning and zoning
Enfield,3,planning and zoning
Essex,1,planning
Fairfield,3,planning and zoning
Farmington,3,planning and zoning
Franklin,0,none
Glastonbury,3,planning and zoning
Goshen,0,none
Granby,3,planning and zoning
Greenwich,3,planning and zoning
Griswold,0,none
Groton,3,planning and zoning
Guilford,3,planning and zoning
Haddam,3,planning and zoning
Hamden,3,planning and zoning
Hampton,0,none
Hartford,3,planning and zoning
Hartland,0,none
Harwinton,2,zoning
Hebron,2,zoning
Kent,1,planning
Killingly,3,planning and zoning
Killingworth,2,zoning
Lebanon,0,none
Ledyard,0,none
Lisbon,0,none
Litchfield,0,none
Lyme,2,zoning
Madison,3,planning and zoning
Manchester,3,planning and zoning
Mansfield,1,planning
Marlborough,3,planning and zoning
Meriden,3,planning and zoning
Middlebury,3,planning and zoning
Middlefield,1,planning
Middletown,3,planning and zoning
Milford,3,planning and zoning
Monroe,3,planning and zoning
Montville,0,none
Morris,1,planning
Naugatuck,3,planning and zoning
New Britain,3,planning and zoning
New Canaan,3,planning and zoning
New Fairfield,3,planning and zoning
New Hartford,3,planning and zoning
New Haven,3,planning and zoning
New London,3,planning and zoning
New Milford,1,planning
Newington,3,planning and zoning
Newtown,3,planning and zoning
Norfolk,0,none
North Branford,3,planning and zoning
North Canaan,0,none
North Haven,3,planning and zoning
North Stonington,0,none
Norwalk,3,planning and zoning
Norwich,3,planning and zoning
Old Lyme,3,planning and zoning
Old Saybrook,3,planning and zoning
Orange,3,planning and zoning
Oxford,2,zoning
Plainfield,0,none
Plainville,3,planning and zoning
Plymouth,2,zoning
Pomfret,0,none
Portland,3,planning and zoning
Preston,0,none
Prospect,0,none
Putnam,3,planning and zoning
Redding,3,planning and zoning
Ridgefield,2,zoning
Rocky Hill,3,planning and zoning
Roxbury,2,zoning
Salem,0,none
Salisbury,3,planning and zoning
Scotland,0,none
Seymour,3,planning and zoning
Sharon,0,none
Shelton,2,zoning
Sherman,3,planning and zoning
Simsbury,3,planning and zoning
Somers,3,planning and zoning
South Windsor,3,planning and zoning
Southbury,3,planning and zoning
Southington,3,planning and zoning
Sprague,3,planning and zoning
Stafford,1,planning
Stamford,3,planning and zoning
Sterling,0,none
Stonington,2,zoning
Stratford,3,planning and zoning
Suffield,3,planning and zoning
Thomaston,1,planning
Thompson,0,none
Tolland,3,planning and zoning
Torrington,1,planning
Trumbull,3,planning and zoning
Union,2,zoning
Vernon,3,planning and zoning
Voluntown,0,none
Wallingford,3,planning and zoning
Warren,2,zoning
Washington,3,planning and zoning
Waterbury,3,planning and zoning
Waterford,3,planning and zoning
Watertown,3,planning and zoning
West Hartford,3,planning and zoning
West Haven,3,planning and zoning
Westbrook,3,planning and zoning
Weston,3,planning and zoning
Westport,3,planning and zoning
Wethersfield,3,planning and zoning
Willington,0,none
Wilton,3,planning and zoning
Winchester,3,planning and zoning
Windham,0,none
Windsor,3,planning and zoning
Windsor Locks,3,planning and zoning
Wolcott,2,zoning
Woodbridge,3,planning and zoning
Woodbury,1,planning
Woodstock,3,planning and zoning